"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Rec","RecYds","RecAvg","RecTD","RushAtt","RushYds","RushAvg","RushTD","Plays","TotYds","TotAvg","TotTD","ConfIndicator"
"1","drew carter",76,204,4.36,35.4357640103281,123.076346624138,6.95970375463038,4.24157605980046,13,10,147,14.7,0,0,0,0,0,10,147,14.7,0,"1"
"2","michael clayton",75,209,4.67,32.5,116,6.77,4.09,14,78,1079,13.8,10,3,25,8.3,0,81,1104,13.6,10,"1"
"3","keary colbert",73,207,4.6,30,121.40410267384,6.96643237538656,4.23021517961757,13,69,1013,14.7,9,3,29,9.7,0,72,1042,14.5,9,"0"
"4","terrance copper",72,208,4.53,35.5,116,7.34,4.31,12,87,897,10.3,2,3,14,4.7,0,90,911,10.1,2,"0"
"5","jerricho cotchery",72,212,4.54,36,121,6.93,3.91,13,86,1369,15.9,10,7,32,4.6,0,93,1401,15.1,10,"1"
"6","devard darling",73,213,4.52,37,129,6.97988961689892,4.239276414655,13,50,830,16.6,7,1,5,5,0,51,835,16.4,7,"0"
"7","larry fitzgerald",75,225,4.48,36.0619487307877,122.286514773229,7.00680409992363,4.22807709347304,13,92,1672,18.2,22,1,7,7,0,93,1679,18.1,22,"0"
"8","carlos francis",69,198,4.33,38.5,114,6.97,4.06,13,75,1177,15.7,9,8,42,5.3,0,83,1219,14.7,9,"1"
"9","d j  hackett",74,199,4.53,41,131,6.79,4.08,13,18,211,11.7,4,0,0,0,0,18,211,11.7,4,"1"
"10","derrick hamilton",75,196,4.54,35.5949254903378,122.299957291534,6.94176076594724,4.21825044700202,13,62,1026,16.5,10,17,111,6.5,0,79,1137,14.4,10,"1"
"11","devery henderson",71,198,4.41,35.7202155095657,121.474314085582,6.94624651311803,4.21886716969829,14,53,861,16.2,11,8,37,4.6,0,61,898,14.7,11,"1"
"12","justin jenkins",71,213,4.6,35,123,7.47,4.16,12,62,880,14.2,9,0,0,0,0,62,880,14.2,9,"1"
"13","michael jenkins",76,218,4.4,35.410177113582,122.454340533992,6.99110398482588,4.24401511523208,13,55,834,15.2,7,0,0,0,0,55,834,15.2,7,"1"
"14","kelvin kight",72,213,4.56,34,109,7.18,4.24,13,39,591,15.2,3,1,7,7,0,40,598,15,3,"1"
"15","maurice mann",73,191,4.57,34,118,6.93054639802028,4.22565458798522,8,35,594,17,2,3,8,2.7,0,38,602,15.8,2,"0"
"16","johnnie morant",76,229,4.51,41,130,7.34,4.22,12,46,799,17.4,5,3,15,5,0,49,814,16.6,5,"0"
"17","samie parker",70,179,4.39,36,120.4387275284,6.90363191499556,4.20599252656437,13,77,1088,14.1,7,5,48,9.6,0,82,1136,13.9,7,"0"
"18","derek abney",69,179,4.58,33.5,120,6.89,4.08,12,51,616,12.1,5,11,148,13.5,0,62,764,12.3,5,"1"
"19","p k  sam",75,210,4.54,34.5,122.166713242512,7.04,4.23932109887235,13,50,735,14.7,5,2,4,2,0,52,739,14.2,5,"1"
"20","jonathan smith",70,194,4.78,32.5,114,6.93727501877645,4.35,13,78,1138,14.6,5,15,45,3,0,93,1183,12.7,5,"1"
"21","john standeford",75,197,4.6,32.5,113,6.9,4.08,13,77,1150,14.9,4,0,0,0,0,77,1150,14.9,4,"1"
