URL,Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13
https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,,,,,,,,,,,,,,,,Ohio State,Big Ten,FR,QB,6,5,9,55.6,57,6.3,1.3,0,1,86.5
https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,,,,,,,,,,,,,,,,Ohio State,Big Ten,SO,QB,2,22,41,53.7,282,6.9,4.1,1,3,104.8
https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,,,,,,,,,,,,,,,,Ohio State,Big Ten,SR,QB,14,148,249,59.4,2110,8.5,8.2,12,7,140.9
https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,,,,,,,,,,,,,,,,Ohio State,Big Ten,SR,QB,11,153,278,55.0,2040,7.3,6.8,15,10,127.3
https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,,,,,,,,,,,,,,,,Ohio State,328,577,56.8,4489,7.8,7.1,28,21,130.9,,,,
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,Kentucky,SEC,FR,QB,11,321,559,57.4,3687,6.6,5.6,19,21,116.5
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,Kentucky,SEC,SO,QB,8,167,292,57.2,2179,7.5,7.7,19,7,136.6
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,Kentucky,SEC,JR,QB,12,183,327,56.0,2267,6.9,7.7,24,5,135.4
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,Kentucky,SEC,SR,QB,12,191,336,56.8,2221,6.6,6.5,16,8,123.3
https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,,,,,,,,,,,,,,,,Kentucky,862,1514,56.9,10354,6.8,6.7,78,41,126.0,,,,
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,Tulane,CUSA,FR,QB,10,58,115,50.4,722,6.3,6.2,4,2,111.2
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,Tulane,CUSA,SO,QB,3,31,49,63.3,487,9.9,10.7,4,1,169.6
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,Tulane,CUSA,JR,QB,13,230,401,57.4,2468,6.2,6.0,19,10,119.7
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,Tulane,CUSA,SR,QB,12,251,422,59.5,3077,7.3,7.4,33,14,139.9
https://www.sports-reference.com/cfb/players/jp-losman-1.html,,,,,,,,,,,,,,,,Tulane,570,987,57.8,6754,6.8,6.8,60,27,129.8,,,,
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,Ole Miss,SEC,FR,QB,6,16,33,48.5,170,5.2,3.8,0,1,85.7
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,Ole Miss,SEC,SO,QB,11,259,408,63.5,2948,7.2,7.8,31,9,144.8
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,Ole Miss,SEC,JR,QB,13,279,481,58.0,3401,7.1,6.5,21,15,125.6
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,Ole Miss,SEC,SR,QB,13,275,441,62.4,3600,8.2,8.5,29,10,148.1
https://www.sports-reference.com/cfb/players/eli-manning-1.html,,,,,,,,,,,,,,,,Ole Miss,829,1363,60.8,10119,7.4,7.5,81,35,137.7,,,,
https://www.sports-reference.com/cfb/players/matt-mauck-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-mauck-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-mauck-1.html,,,,,,,,,,,,,,,,LSU,SEC,FR,QB,3,18,41,43.9,224,5.5,3.3,0,2,80.0
https://www.sports-reference.com/cfb/players/matt-mauck-1.html,,,,,,,,,,,,,,,,LSU,SEC,SO,QB,6,63,130,48.5,782,6.0,6.7,9,2,118.8
https://www.sports-reference.com/cfb/players/matt-mauck-1.html,,,,,,,,,,,,,,,,LSU,SEC,JR,QB,14,229,358,64.0,2825,7.9,7.7,28,14,148.2
https://www.sports-reference.com/cfb/players/matt-mauck-1.html,,,,,,,,,,,,,,,,LSU,310,529,58.6,3831,7.2,7.1,37,18,135.7,,,,
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,Louisiana Tech,Ind,FR,QB,8,244,369,66.1,2544,6.9,6.2,21,15,134.7
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,Louisiana Tech,WAC,SO,QB,11,277,469,59.1,3337,7.1,7.0,28,14,132.6
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,Louisiana Tech,WAC,JR,QB,12,296,505,58.6,3539,7.0,6.1,19,19,122.4
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,Louisiana Tech,WAC,SR,QB,12,246,432,56.9,3246,7.5,6.9,19,14,128.1
https://www.sports-reference.com/cfb/players/luke-mccown-1.html,,,,,,,,,,,,,,,,Louisiana Tech,1063,1775,59.9,12666,7.1,6.5,87,62,129.0,,,,
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,Michigan,Big Ten,FR,QB,9,40,77,51.9,583,7.6,9.1,8,1,147.2
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,Michigan,Big Ten,SO,QB,11,186,346,53.8,2195,6.3,5.8,17,12,116.3
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,Michigan,Big Ten,JR,QB,13,248,448,55.4,2905,6.5,6.7,21,7,122.2
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,Michigan,Big Ten,SR,QB,13,270,456,59.2,3331,7.3,7.4,24,10,133.6
https://www.sports-reference.com/cfb/players/john-navarre-1.html,,,,,,,,,,,,,,,,Michigan,744,1327,56.1,9014,6.8,6.8,70,30,126.0,,,,
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,Washington,Pac-10,QB,1,0,4,0.0,0,0.0,-11.3,0,1,-50.0,
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,Washington,Pac-10,FR,QB,2,1,2,50.0,12,6.0,6.0,0,0,100.4
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,Washington,Pac-10,SO,QB,10,169,301,56.1,2403,8.0,6.6,10,14,124.9
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,Washington,Pac-10,JR,QB,13,365,612,59.6,4458,7.3,7.2,28,14,131.4
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,Washington,Pac-10,SR,QB,12,257,454,56.6,3043,6.7,6.1,15,13,118.1
https://www.sports-reference.com/cfb/players/cody-pickett-1.html,,,,,,,,,,,,,,,,Washington,792,1373,57.7,9916,7.2,6.6,53,42,125.0,,,,
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,Michigan State,Big Ten,FR,QB,9,103,197,52.3,1365,6.9,5.9,6,7,113.4
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,Michigan State,Big Ten,SO,QB,11,166,262,63.4,2579,9.8,10.1,21,8,166.4
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,Michigan State,Big Ten,JR,QB,8,114,203,56.2,1593,7.8,6.9,13,10,133.4
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,Michigan State,Big Ten,SR,QB,13,302,488,61.9,3395,7.0,6.5,21,14,128.8
https://www.sports-reference.com/cfb/players/jeff-smoker-1.html,,,,,,,,,,,,,,,,Michigan State,685,1150,59.6,8932,7.8,7.3,61,39,135.5,,,,
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,Bowling Green State,MAC,QB,6,23,48,47.9,243,5.1,3.2,0,2,82.1,
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,Bowling Green State,MAC,SO,QB,10,81,133,60.9,1022,7.7,8.0,9,3,143.3
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,Bowling Green State,MAC,JR,QB,12,198,353,56.1,2425,6.9,6.5,19,11,125.3
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,Bowling Green State,MAC,SR,QB,14,325,494,65.8,3813,7.7,7.7,27,12,143.8
https://www.sports-reference.com/cfb/players/josh-harris-2.html,,,,,,,,,,,,,,,,Bowling Green State,627,1028,61.0,7503,7.3,7.1,55,28,134.5,,,,
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,North Carolina State,ACC,FR,QB,11,237,441,53.7,3054,6.9,7.0,25,10,126.1
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,North Carolina State,ACC,SO,QB,11,240,368,65.2,2586,7.0,7.0,16,7,134.8
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,North Carolina State,ACC,JR,QB,14,262,418,62.7,3353,8.0,7.9,20,10,141.1
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,North Carolina State,ACC,SR,QB,13,348,483,72.0,4491,9.3,10.1,34,7,170.5
https://www.sports-reference.com/cfb/players/philip-rivers-1.html,,,,,,,,,,,,,,,,North Carolina State,1087,1710,63.6,13484,7.9,8.1,95,34,144.2,,,,
https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,,,,,,,,,,,,,,,,Miami (OH),MAC,FR,QB,12,241,381,63.3,3105,8.1,7.9,25,13,146.5
https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,,,,,,,,,,,,,,,,Miami (OH),MAC,SO,QB,12,271,428,63.3,3238,7.6,7.4,22,11,138.7
https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,,,,,,,,,,,,,,,,Miami (OH),MAC,JR,QB,14,342,495,69.1,4486,9.1,9.6,37,10,165.8
https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html,,,,,,,,,,,,,,,,Miami (OH),854,1304,65.5,10829,8.3,8.4,84,34,151.3,,,,
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,Virginia,ACC,FR,QB,3,7,8,87.5,50,6.3,0.6,0,1,115.0
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,Virginia,ACC,SO,QB,12,140,240,58.3,1524,6.4,5.7,10,8,118.8
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,Virginia,ACC,JR,QB,14,288,418,68.9,2976,7.1,7.7,28,7,147.5
