Player,Season,Age,Team,G,GS,AV,Pos
Michael Robinson,2006,23,SFO,16,0,1,WR
Brad Smith,2006,23,NYJ,16,3,1,WR/QB
Brandon Stokley,2006,30,IND,4,1,1,WR
Maurice Stovall,2006,21,TAM,9,2,1,WR
James Thrash,2006,31,WAS,16,0,1,WR
Kelley Washington,2006,27,CIN,5,1,1,WR
Terrence Wilkins,2006,31,IND,15,0,1,WR
Mike Williams,2006,22,DET,8,2,1,WR
Roydell Williams,2006,25,TEN,14,0,1,WR
James Adkisson,2006,26,OAK,2,0,0,WR
Sam Aiken,2006,26,BUF,15,0,0,WR
David Anderson,2006,23,HOU,9,0,0,WR
Miles Austin,2006,22,DAL,9,0,0,WR
Alex Bannister,2006,27,BAL,2,0,0,WR
Taye Biddle,2006,23,CAR,2,0,0,WR
Shaun Bodiford,2006,24,"DET,GNB",6,0,0,WR
Will Buchanon,2006,23,OAK,1,0,0,WR
Greg Camarillo,2006,24,SDG,4,0,0,WR
Jason Carter,2006,24,MIN,1,0,0,WR
Antonio Chatman,2006,27,CIN,3,0,0,WR
Bam Childress,2006,24,NWE,2,0,0,WR
Brian Clark,2006,23,DEN,6,0,0,WR
Keary Colbert,2006,24,CAR,12,3,0,WR
Airese Currie,2006,24,CHI,1,0,0,WR
Devard Darling,2006,24,BAL,1,0,0,WR
Andre' Davis,2006,27,BUF,16,1,0,WR
Todd Devoe,2006,26,DEN,1,0,0,WR
Eddie Drummond,2006,26,DET,14,0,0,WR
Devale Ellis,2006,22,DET,9,2,0,WR
Jamin Elliott,2006,27,ATL,1,0,0,WR
Mike Espy,2006,24,WAS,1,0,0,WR
Robert Ferguson,2006,27,GNB,4,1,0,WR
Chris Francies,2006,24,GNB,7,0,0,WR
Rod Gardner,2006,29,KAN,14,0,0,WR
Skyler Green,2006,22,DAL,2,0,0,WR
Karl Hankton,2006,36,CAR,16,0,0,WR
Glenn Holt,2006,22,CIN,11,0,0,WR
Nate Jackson,2006,27,DEN,11,0,0,WR
Taylor Jacobs,2006,25,SFO,8,0,0,WR
Adam Jennings,2006,24,ATL,15,0,0,WR
Mark Jones,2006,26,TAM,7,0,0,WR
Kevin Kasper,2006,29,DET,1,1,0,WR
Kelvin Kight,2006,24,NWE,4,1,0,WR
Ethan Kilmer,2006,23,CIN,16,0,0,WR
Derrick Lewis,2006,31,HOU,4,0,0,WR
Michael Lewis,2006,35,NOR,10,0,0,WR
Dane Looker,2006,30,STL,16,0,0,WR
Maurice Mann,2006,24,MIN,1,0,0,WR
Jerome Mathis,2006,23,HOU,2,0,0,WR
Lee Mays,2006,28,PIT,1,0,0,WR
Clarence Moore,2006,24,BAL,10,1,0,WR
Lance Moore,2006,23,NOR,4,0,0,WR
Johnnie Morant,2006,25,OAK,10,2,0,WR
Sean Morey,2006,30,PIT,16,0,0,WR
Quincy Morgan,2006,29,DEN,7,0,0,WR
Kendrick Mosley,2006,25,CLE,1,0,0,WR
Sinorice Moss,2006,23,NYG,6,0,0,WR
Martin Nance,2006,23,MIN,1,1,0,WR
Kassim Osgood,2006,26,SDG,16,0,0,WR
Chad Owens,2006,24,JAX,4,0,0,WR
David Patten,2006,32,WAS,5,0,0,WR
Willie Ponder,2006,26,"STL,SEA",12,0,0,WR
Jerry Porter,2006,28,OAK,4,0,0,WR
Ricky Proehl,2006,38,IND,2,1,0,WR
Jamaica Rector,2006,25,DAL,1,0,0,WR
Willie Reid,2006,24,PIT,1,0,0,WR
Courtney Roby,2006,23,TEN,12,0,0,WR
Cliff Russell,2006,27,MIA,3,0,0,WR
Edell Shepherd,2006,26,HOU,7,0,0,WR
Jonathan Smith,2006,25,NWE,2,0,0,WR
Micheal Spurlock,2006,23,ARI,1,0,0,WR
Marcus Vick,2006,22,MIA,1,0,0,WR/QB
Delanie Walker,2006,22,SFO,7,1,0,WR
Randy Moss,2007,30,NWE,16,16,19,WR
Reggie Wayne,2007,29,IND,16,16,19,WR
Wes Welker,2007,26,NWE,16,13,16,WR
Terrell Owens,2007,34,DAL,15,15,15,WR
Chad Johnson,2007,29,CIN,16,16,14,WR
Braylon Edwards,2007,24,CLE,16,16,13,WR
Larry Fitzgerald,2007,24,ARI,15,15,12,WR
Brandon Marshall,2007,23,DEN,16,16,12,WR
Marques Colston,2007,24,NOR,16,14,11,WR
Santonio Holmes,2007,23,PIT,13,13,11,WR
T.J. Houshmandzadeh,2007,30,CIN,16,15,11,WR
Plaxico Burress,2007,30,NYG,16,16,10,WR
Chris Chambers,2007,29,"MIA,SDG",16,12,10,WR
Donald Driver,2007,32,GNB,15,14,10,WR
Jerricho Cotchery,2007,25,NYJ,15,15,9,WR
Kevin Curtis,2007,29,PHI,16,16,9,WR
Andre' Davis,2007,28,HOU,14,8,9,WR
Bobby Engram,2007,34,SEA,16,13,9,WR
Joey Galloway,2007,36,TAM,15,15,9,WR
Greg Jennings,2007,24,GNB,13,13,9,WR
Steve Smith Sr.,2007,28,CAR,15,15,9,WR
Donte' Stallworth,2007,27,NWE,16,9,9,WR
Roddy White,2007,26,ATL,16,15,9,WR
Patrick Crayton,2007,28,DAL,15,13,8,WR
Torry Holt,2007,31,STL,16,16,8,WR
Andre Johnson,2007,26,HOU,9,9,8,WR
Derrick Mason,2007,33,BAL,16,16,8,WR
Shaun McDonald,2007,26,DET,16,7,8,WR
Dennis Northcutt,2007,30,JAX,15,11,8,WR
Kevin Walter,2007,26,HOU,16,15,8,WR
Hines Ward,2007,31,PIT,13,13,8,WR
Reggie Williams,2007,24,JAX,15,6,8,WR
Anquan Boldin,2007,27,ARI,12,11,7,WR
Reggie Brown,2007,26,PHI,16,14,7,WR
Nate Burleson,2007,26,SEA,16,12,7,WR
Justin Gage,2007,26,TEN,16,8,7,WR
Anthony Gonzalez,2007,23,IND,13,9,7,WR
Ike Hilliard,2007,31,TAM,15,10,7,WR
Vincent Jackson,2007,24,SDG,16,16,7,WR
James Jones,2007,23,GNB,16,9,7,WR
Santana Moss,2007,28,WAS,14,14,7,WR
David Patten,2007,33,NOR,16,5,7,WR
Amani Toomer,2007,33,NYG,16,15,7,WR
Ernest Wilford,2007,28,JAX,16,14,7,WR
Roy Williams,2007,26,DET,12,12,7,WR
Bernard Berrian,2007,27,CHI,16,15,6,WR
Dwayne Bowe,2007,23,KAN,16,15,6,WR
Ronald Curry,2007,28,OAK,16,13,6,WR
Lee Evans,2007,26,BUF,16,16,6,WR
Jabar Gaffney,2007,27,NWE,16,7,6,WR
Calvin Johnson,2007,22,DET,15,10,6,WR
Joe Jurevicius,2007,33,CLE,16,12,6,WR
Jerry Porter,2007,29,OAK,16,16,6,WR
Antwaan Randle El,2007,28,WAS,15,13,6,WR
Brandon Stokley,2007,31,DEN,13,9,6,WR
Bobby Wade,2007,26,MIN,16,12,6,WR
Roydell Williams,2007,26,TEN,16,14,6,WR
Marty Booker,2007,31,MIA,15,15,5,WR
Deion Branch,2007,28,SEA,11,11,5,WR
Isaac Bruce,2007,35,STL,14,12,5,WR
Laveranues Coles,2007,30,NYJ,12,10,5,WR
Mike Furrey,2007,30,DET,16,10,5,WR
Nate Washington,2007,24,PIT,16,4,5,WR
Arnaz Battle,2007,27,SFO,16,15,4,WR
Drew Carter,2007,26,CAR,16,7,4,WR
Mark Clayton,2007,25,BAL,16,12,4,WR
Josh Cribbs,2007,24,CLE,16,2,4,WR
Robert Ferguson,2007,28,MIN,15,8,4,WR
Ted Ginn Jr.,2007,22,MIA,16,9,4,WR
Devery Henderson,2007,25,NOR,16,9,4,WR
Darrell Jackson,2007,29,SFO,15,15,4,WR
Michael Jenkins,2007,25,ATL,15,6,4,WR
Bryant Johnson,2007,26,ARI,16,8,4,WR
Matt Jones,2007,24,JAX,12,0,4,WR
Muhsin Muhammad,2007,34,CHI,16,16,4,WR
Roscoe Parrish,2007,25,BUF,16,3,4,WR
Josh Reed,2007,27,BUF,15,9,4,WR
Sidney Rice,2007,21,MIN,13,4,4,WR
Drew Bennett,2007,29,STL,14,1,3,WR
Michael Clayton,2007,25,TAM,14,4,3,WR
Keary Colbert,2007,25,CAR,12,8,3,WR
D.J. Hackett,2007,26,SEA,6,6,3,WR
Derek Hagan,2007,23,MIA,16,1,3,WR
Marvin Harrison,2007,35,IND,5,5,3,WR
Chris Henry,2007,24,CIN,8,2,3,WR
Sam Hurd,2007,22,DAL,16,2,3,WR
Glenn Martinez,2007,26,DEN,12,1,3,WR
Lance Moore,2007,24,NOR,16,4,3,WR
Eric Moulds,2007,34,TEN,16,8,3,WR
Laurent Robinson,2007,22,ATL,15,6,3,WR
Brad Smith,2007,24,NYJ,16,9,3,WR
Jerheme Urban,2007,27,ARI,10,2,3,WR
Javon Walker,2007,29,DEN,8,5,3,WR
Cedrick Wilson,2007,29,PIT,16,1,3,WR
Aundrae Allison,2007,21,MIN,11,0,2,WR
Jason Avant,2007,24,PHI,15,5,2,WR
Steve Breaston,2007,24,ARI,16,0,2,WR
John Broussard,2007,24,JAX,8,0,2,WR
Devard Darling,2007,25,BAL,16,1,2,WR
Craig Davis,2007,22,SDG,13,1,2,WR
Rashied Davis,2007,28,CHI,16,1,2,WR
Yamon Figurs,2007,24,BAL,14,0,2,WR
Glenn Holt,2007,23,CIN,16,0,2,WR
Joe Horn,2007,35,ATL,12,12,2,WR
Brandon Jones,2007,25,TEN,9,2,2,WR
Greg Lewis,2007,27,PHI,15,1,2,WR
Ruvell Martin,2007,25,GNB,15,5,2,WR
Justin McCareins,2007,29,NYJ,16,6,2,WR
Keenan McCardell,2007,37,WAS,10,1,2,WR
Sinorice Moss,2007,24,NYG,13,2,2,WR
Samie Parker,2007,26,KAN,15,7,2,WR
Koren Robinson,2007,27,GNB,9,1,2,WR
Jeff Webb,2007,25,KAN,16,2,2,WR
Demetrius Williams,2007,24,BAL,9,4,2,WR
Troy Williamson,2007,24,MIN,11,8,2,WR
David Anderson,2007,24,HOU,8,0,1,WR
Devin Aromashodu,2007,23,IND,6,1,1,WR
Miles Austin,2007,23,DAL,16,0,1,WR
Hank Baskett,2007,25,PHI,16,0,1,WR
Reche Caldwell,2007,28,WAS,8,1,1,WR
Greg Camarillo,2007,25,MIA,15,0,1,WR
Tim Carter,2007,28,CLE,16,0,1,WR
Antonio Chatman,2007,28,CIN,13,1,1,WR
Terrance Copper,2007,25,NOR,15,1,1,WR
Tim Dwight,2007,32,OAK,6,1,1,WR
Malcom Floyd,2007,26,SDG,6,1,1,WR
Bryan Gilmore,2007,29,SFO,10,0,1,WR
Marques Hagans,2007,25,STL,4,1,1,WR
Dante Hall,2007,29,STL,7,1,1,WR
Domenik Hixon,2007,23,"DEN,NYG",16,1,1,WR
Dwayne Jarrett,2007,21,CAR,7,0,1,WR
Jacoby Jones,2007,23,HOU,14,3,1,WR
Eddie Kennison,2007,34,KAN,8,8,1,WR
Ashley Lelie,2007,27,SFO,15,3,1,WR
Chad Lucas,2007,26,TAM,2,1,1,WR
John Madsen,2007,24,OAK,16,3,1,WR
Jerome Mathis,2007,24,HOU,3,0,1,WR
Brandon Middleton,2007,26,DET,5,0,1,WR
Aaron Moorehead,2007,27,IND,8,2,1,WR
Sean Morey,2007,31,ARI,15,0,1,WR
Legedu Naanee,2007,24,SDG,13,0,1,WR
Ben Obomanu,2007,24,SEA,13,0,1,WR
Peerless Price,2007,31,BUF,4,4,1,WR
Willie Reid,2007,25,PIT,6,0,1,WR
Michael Robinson,2007,24,SFO,15,1,1,WR
Steve Smith,2007,22,NYG,5,0,1,WR
Micheal Spurlock,2007,24,TAM,7,0,1,WR
Maurice Stovall,2007,22,TAM,15,1,1,WR
Craphonso Thorpe,2007,24,IND,5,0,1,WR
James Thrash,2007,32,WAS,12,4,1,WR
Troy Walters,2007,31,DET,13,0,1,WR
Mike Williams,2007,23,"TEN,OAK",8,1,1,WR
Wallace Wright,2007,23,NYJ,16,1,1,WR
Sam Aiken,2007,27,BUF,12,0,0,WR
Shaun Bodiford,2007,25,GNB,6,0,0,WR
Mark Bradley,2007,25,CHI,15,0,0,WR
Troy Brown,2007,36,NWE,1,0,0,WR
Brian Clark,2007,24,"DEN,TAM",5,0,0,WR
Chris Davis,2007,23,TEN,12,0,0,WR
Chris Davis,2007,24,NYJ,2,0,0,WR
Eddie Drummond,2007,27,KAN,12,0,0,WR
Biren Ealy,2007,23,TEN,4,0,0,WR
Jimmy Farris,2007,29,WAS,2,0,0,WR
Chris Francies,2007,25,GNB,1,0,0,WR
Michael Gasperson,2007,25,PHI,1,0,0,WR
Chas Gessner,2007,26,TAM,1,0,0,WR
Terry Glenn,2007,33,DAL,1,0,0,WR
Skyler Green,2007,23,CIN,7,0,0,WR
Roy Hall,2007,24,IND,3,0,0,WR
Mike Hass,2007,24,CHI,1,0,0,WR
Johnnie Lee Higgins,2007,24,OAK,16,2,0,WR
Jason Hill,2007,22,SFO,5,0,0,WR
Carlyle Holiday,2007,26,GNB,1,0,0,WR
Chad Jackson,2007,22,NWE,2,0,0,WR
Nate Jackson,2007,28,DEN,5,1,0,WR
Taylor Jacobs,2007,26,"DEN,SFO",10,0,0,WR
Justin Jenkins,2007,27,BUF,11,0,0,WR
Adam Jennings,2007,25,ATL,16,2,0,WR
Mark Jones,2007,27,TAM,6,0,0,WR
Michael Lewis,2007,36,SFO,13,0,0,WR
Brandon Lloyd,2007,26,WAS,8,1,0,WR
Dane Looker,2007,31,STL,13,0,0,WR
Marcus Maxwell,2007,24,CIN,5,0,0,WR
Chris McFoy,2007,24,OAK,3,0,0,WR
Anthony Mix,2007,24,"NYG,WAS",9,0,0,WR
Kassim Osgood,2007,27,SDG,16,0,0,WR
Chad Owens,2007,25,JAX,1,0,0,WR
Tab Perry,2007,25,CIN,2,1,0,WR
Jamaica Rector,2007,26,ARI,2,0,0,WR
Kerry Reed,2007,23,MIA,1,0,0,WR
Ryne Robinson,2007,23,CAR,16,0,0,WR
Bobby Sippio,2007,27,KAN,9,0,0,WR
Derek Stanley,2007,22,STL,3,0,0,WR
Isaiah Stanback,2007,23,DAL,2,0,0,WR
Courtney Taylor,2007,23,SEA,8,0,0,WR
Travis Taylor,2007,29,"OAK,STL",2,0,0,WR
David Tyree,2007,27,NYG,12,0,0,WR
Kelley Washington,2007,28,NWE,14,0,0,WR
Eric Weems,2007,22,ATL,1,0,0,WR
Brandon Williams,2007,23,"STL,SFO",10,0,0,WR
Steve Smith Sr.,2008,29,CAR,14,14,15,WR
Roddy White,2008,27,ATL,16,15,15,WR
Larry Fitzgerald,2008,25,ARI,16,16,14,WR
Andre Johnson,2008,27,HOU,16,16,14,WR
Vincent Jackson,2008,25,SDG,16,16,13,WR
Reggie Wayne,2008,30,IND,16,16,13,WR
Wes Welker,2008,27,NWE,16,14,13,WR
Greg Jennings,2008,25,GNB,16,15,12,WR
Anquan Boldin,2008,28,ARI,12,11,11,WR
Calvin Johnson,2008,23,DET,16,16,11,WR
Brandon Marshall,2008,24,DEN,15,15,11,WR
Derrick Mason,2008,34,BAL,16,16,11,WR
Randy Moss,2008,31,NWE,16,16,11,WR
Bernard Berrian,2008,28,MIN,16,13,10,WR
Steve Breaston,2008,25,ARI,16,9,10,WR
Antonio Bryant,2008,27,TAM,16,15,10,WR
Santana Moss,2008,29,WAS,16,16,10,WR
Muhsin Muhammad,2008,35,CAR,16,15,10,WR
Dwayne Bowe,2008,24,KAN,16,16,9,WR
Laveranues Coles,2008,31,NYJ,16,16,9,WR
Jerricho Cotchery,2008,26,NYJ,16,16,9,WR
Donald Driver,2008,33,GNB,16,16,9,WR
Lee Evans,2008,27,BUF,16,16,9,WR
DeSean Jackson,2008,22,PHI,16,15,9,WR
Michael Jenkins,2008,26,ATL,16,12,9,WR
Lance Moore,2008,25,NOR,16,6,9,WR
Terrell Owens,2008,35,DAL,16,16,9,WR
Eddie Royal,2008,22,DEN,15,15,9,WR
Hines Ward,2008,32,PIT,16,15,9,WR
Mark Clayton,2008,26,BAL,16,13,8,WR
Ted Ginn Jr.,2008,23,MIA,16,14,8,WR
Anthony Gonzalez,2008,24,IND,16,2,8,WR
Devery Henderson,2008,26,NOR,16,13,8,WR
Kevin Walter,2008,27,HOU,16,16,8,WR
Isaac Bruce,2008,36,SFO,16,15,7,WR
Marques Colston,2008,25,NOR,11,6,7,WR
Marvin Harrison,2008,36,IND,15,15,7,WR
Domenik Hixon,2008,24,NYG,16,7,7,WR
Santonio Holmes,2008,24,PIT,15,15,7,WR
Matt Jones,2008,25,JAX,12,10,7,WR
Greg Camarillo,2008,26,MIA,11,11,6,WR
Braylon Edwards,2008,25,CLE,16,16,6,WR
Justin Gage,2008,27,TEN,12,11,6,WR
Devin Hester,2008,26,CHI,15,8,6,WR
Johnnie Lee Higgins,2008,25,OAK,16,3,6,WR
T.J. Houshmandzadeh,2008,31,CIN,15,15,6,WR
Steve Smith,2008,23,NYG,16,4,6,WR
Amani Toomer,2008,34,NYG,16,12,6,WR
Bobby Wade,2008,27,MIN,16,14,6,WR
Nate Washington,2008,25,PIT,16,1,6,WR
Donnie Avery,2008,24,STL,15,12,5,WR
Davone Bess,2008,23,MIA,16,6,5,WR
Plaxico Burress,2008,31,NYG,10,9,5,WR
Chris Chambers,2008,30,SDG,14,9,5,WR
Harry Douglas,2008,24,ATL,16,0,5,WR
Malcom Floyd,2008,27,SDG,13,2,5,WR
Jabar Gaffney,2008,28,NWE,16,7,5,WR
Torry Holt,2008,32,STL,16,14,5,WR
Bryant Johnson,2008,27,SFO,16,12,5,WR
Dennis Northcutt,2008,31,JAX,14,3,5,WR
Antwaan Randle El,2008,29,WAS,16,16,5,WR
Josh Reed,2008,28,BUF,13,13,5,WR
Brandon Stokley,2008,32,DEN,15,2,5,WR
Jerheme Urban,2008,28,ARI,16,2,5,WR
Hank Baskett,2008,26,PHI,15,6,4,WR
Michael Clayton,2008,26,TAM,15,9,4,WR
Patrick Crayton,2008,29,DAL,16,7,4,WR
Rashied Davis,2008,29,CHI,16,12,4,WR
Bobby Engram,2008,35,SEA,13,11,4,WR
Chad Johnson,2008,30,CIN,13,10,4,WR
Brandon Jones,2008,26,TEN,16,7,4,WR
Justin McCareins,2008,30,TEN,14,10,4,WR
Chansi Stuckey,2008,25,NYJ,15,2,4,WR
Roy Williams,2008,27,"DAL,DET",15,11,4,WR
Jason Avant,2008,25,PHI,15,6,3,WR
Arnaz Battle,2008,28,SFO,9,0,3,WR
Mark Bradley,2008,26,"CHI,KAN",12,8,3,WR
Deion Branch,2008,29,SEA,8,8,3,WR
Kevin Curtis,2008,30,PHI,9,8,3,WR
Ike Hilliard,2008,32,TAM,16,2,3,WR
Jason Hill,2008,23,SFO,16,2,3,WR
Jacoby Jones,2008,24,HOU,16,0,3,WR
James Jones,2008,24,GNB,10,2,3,WR
Brandon Lloyd,2008,27,CHI,11,5,3,WR
Shaun McDonald,2008,27,DET,12,7,3,WR
Robert Meachem,2008,24,NOR,14,3,3,WR
Josh Morgan,2008,23,SFO,12,1,3,WR
Jordy Nelson,2008,23,GNB,16,2,3,WR
Roscoe Parrish,2008,26,BUF,13,1,3,WR
Koren Robinson,2008,28,SEA,12,12,3,WR
Reggie Williams,2008,25,JAX,16,11,3,WR
David Anderson,2008,25,HOU,16,1,2,WR
Miles Austin,2008,24,DAL,12,0,2,WR
Marty Booker,2008,32,CHI,13,5,2,WR
Reggie Brown,2008,27,PHI,10,3,2,WR
Josh Cribbs,2008,25,CLE,15,2,2,WR
Devard Darling,2008,26,KAN,16,9,2,WR
Andre' Davis,2008,29,HOU,12,0,2,WR
Brian Finneran,2008,32,ATL,16,0,2,WR
Mike Furrey,2008,31,DET,9,2,2,WR
D.J. Hackett,2008,27,CAR,9,2,2,WR
Darrell Jackson,2008,30,DEN,12,2,2,WR
Ashley Lelie,2008,28,OAK,13,6,2,WR
Greg Lewis,2008,28,PHI,16,0,2,WR
Dane Looker,2008,32,STL,13,6,2,WR
Sinorice Moss,2008,25,NYG,10,0,2,WR
David Patten,2008,34,NOR,5,3,2,WR
Jerry Porter,2008,30,JAX,10,6,2,WR
Michael Robinson,2008,25,SFO,16,1,2,WR
Chaz Schilens,2008,23,OAK,16,6,2,WR
Brad Smith,2008,25,NYJ,15,1,2,WR
John Standeford,2008,26,DET,9,4,2,WR
Javon Walker,2008,30,OAK,8,7,2,WR
Mike Sims-Walker,2008,24,JAX,9,1,2,WR
Demetrius Williams,2008,25,BAL,7,0,2,WR
George Wilson,2008,27,BUF,16,3,2,WR
Sam Aiken,2008,28,NWE,14,2,1,WR
Aundrae Allison,2008,22,MIN,15,0,1,WR
Keenan Burton,2008,24,STL,13,1,1,WR
Andre Caldwell,2008,23,CIN,7,4,1,WR
Antonio Chatman,2008,29,CIN,10,1,1,WR
Keary Colbert,2008,26,"DEN,DET,SEA",13,7,1,WR
Ronald Curry,2008,29,OAK,13,10,1,WR
Craig Davis,2008,23,SDG,4,0,1,WR
Early Doucet,2008,23,ARI,7,0,1,WR
Will Franklin,2008,23,KAN,13,1,1,WR
Joey Galloway,2008,37,TAM,9,4,1,WR
Dante Hall,2008,30,STL,8,0,1,WR
James Hardy,2008,23,BUF,14,3,1,WR
Lavelle Hawkins,2008,22,TEN,13,1,1,WR
Chris Henry,2008,25,CIN,12,1,1,WR
Nate Jackson,2008,29,DEN,10,3,1,WR
Dwayne Jarrett,2008,22,CAR,9,1,1,WR
Steve Johnson,2008,22,BUF,11,1,1,WR
Elbert Mack,2008,22,TAM,15,0,1,WR
Ruvell Martin,2008,26,GNB,13,1,1,WR
Billy McMullen,2008,28,SEA,4,2,1,WR
Legedu Naanee,2008,25,SDG,16,0,1,WR
Sidney Rice,2008,22,MIN,13,3,1,WR
Laurent Robinson,2008,23,ATL,6,0,1,WR
Donte' Stallworth,2008,28,CLE,11,7,1,WR
Derek Stanley,2008,23,STL,10,0,1,WR
Syndric Steptoe,2008,24,CLE,16,5,1,WR
Limas Sweed,2008,24,PIT,11,0,1,WR
Courtney Taylor,2008,24,SEA,10,4,1,WR
Devin Thomas,2008,22,WAS,16,1,1,WR
James Thrash,2008,33,WAS,16,5,1,WR
Delanie Walker,2008,24,SFO,15,2,1,WR
Dominique Zeigler,2008,24,SFO,8,0,1,WR
Dallas Baker,2008,26,PIT,8,0,0,WR
Drew Bennett,2008,30,STL,1,0,0,WR
Earl Bennett,2008,21,CHI,10,0,0,WR
Michael Bumpus,2008,23,SEA,4,1,0,WR
Nate Burleson,2008,27,SEA,1,1,0,WR
Brian Clark,2008,25,TAM,9,0,0,WR
David Clowney,2008,23,NYJ,2,0,0,WR
Terrance Copper,2008,26,"NOR,BAL",7,0,0,WR
Chris Davis,2008,24,TEN,5,0,0,WR
Robert Ferguson,2008,29,MIN,8,0,0,WR
Yamon Figurs,2008,25,BAL,12,0,0,WR
Pierre Garcon,2008,22,IND,14,0,0,WR
Skyler Green,2008,24,NOR,2,0,0,WR
Derek Hagan,2008,24,"MIA,NYG",4,0,0,WR
Marques Hagans,2008,26,KAN,2,0,0,WR
Roy Hall,2008,25,IND,4,0,0,WR
Jonathan Holland,2008,23,OAK,3,0,0,WR
Glenn Holt,2008,24,CIN,15,2,0,WR
Sam Hurd,2008,23,DAL,3,0,0,WR
Chad Jackson,2008,23,DEN,4,0,0,WR
Dexter Jackson,2008,22,TAM,7,0,0,WR
Darnell Jenkins,2008,26,HOU,1,0,0,WR
Justin Jenkins,2008,28,BUF,13,0,0,WR
Adam Jennings,2008,26,"ATL,DET",14,0,0,WR
Mark Jones,2008,28,CAR,16,0,0,WR
Malcolm Kelly,2008,22,WAS,5,0,0,WR
Eddie Kennison,2008,35,STL,3,1,0,WR
Jordan Kent,2008,24,SEA,9,1,0,WR
Brandon London,2008,24,MIA,14,1,0,WR
John Madsen,2008,25,OAK,4,0,0,WR
Mario Manningham,2008,22,NYG,7,0,0,WR
Glenn Martinez,2008,27,DEN,2,0,0,WR
Brandon Middleton,2008,27,DET,8,0,0,WR
Sean Morey,2008,32,ARI,16,0,0,WR
Kassim Osgood,2008,28,SDG,16,0,0,WR
Logan Payne,2008,23,SEA,2,2,0,WR
Darius Reynaud,2008,24,MIN,3,0,0,WR
Brandon Rideau,2008,26,CHI,2,0,0,WR
Kevin Robinson,2008,24,KAN,8,0,0,WR
Courtney Roby,2008,25,"IND,NOR",6,0,0,WR
Cliff Russell,2008,29,DEN,2,0,0,WR
Steve Sanders,2008,26,CLE,5,0,0,WR
Jerome Simpson,2008,22,CIN,6,1,0,WR
Matthew Slater,2008,23,NWE,14,0,0,WR
Marcus Smith,2008,23,BAL,7,0,0,WR
Isaiah Stanback,2008,24,DAL,8,0,0,WR
Maurice Stovall,2008,23,TAM,5,0,0,WR
Kelley Washington,2008,29,NWE,10,0,0,WR
Todd Watkins,2008,25,OAK,8,0,0,WR
Jeff Webb,2008,26,KAN,5,1,0,WR
Eric Weems,2008,23,ATL,6,0,0,WR
DeSean Jackson,2009,23,PHI,15,15,14,WR
Vincent Jackson,2009,26,SDG,15,15,14,WR
Andre Johnson,2009,28,HOU,16,16,14,WR
Sidney Rice,2009,23,MIN,16,14,14,WR
Reggie Wayne,2009,31,IND,16,16,14,WR
Wes Welker,2009,28,NWE,14,13,14,WR
Randy Moss,2009,32,NWE,16,16,13,WR
Roddy White,2009,28,ATL,16,16,12,WR
Miles Austin,2009,25,DAL,16,9,11,WR
Marques Colston,2009,26,NOR,16,14,11,WR
Donald Driver,2009,34,GNB,16,16,11,WR
Percy Harvin,2009,21,MIN,15,8,11,WR
Santonio Holmes,2009,25,PIT,16,16,11,WR
Greg Jennings,2009,26,GNB,16,13,11,WR
Derrick Mason,2009,35,BAL,16,16,11,WR
Steve Smith,2009,24,NYG,16,15,11,WR
Malcom Floyd,2009,28,SDG,16,9,10,WR
Hines Ward,2009,33,PIT,16,16,10,WR
Anquan Boldin,2009,29,ARI,15,15,9,WR
Larry Fitzgerald,2009,26,ARI,16,16,9,WR
Pierre Garcon,2009,23,IND,14,13,9,WR
Chad Johnson,2009,31,CIN,16,15,9,WR
Brandon Marshall,2009,25,DEN,15,13,9,WR
Steve Smith Sr.,2009,30,CAR,15,15,9,WR
Austin Collie,2009,24,IND,16,5,8,WR
Devery Henderson,2009,27,NOR,16,11,8,WR
Robert Meachem,2009,25,NOR,16,7,8,WR
Mike Sims-Walker,2009,25,JAX,15,14,8,WR
Earl Bennett,2009,22,CHI,16,15,7,WR
Davone Bess,2009,24,MIA,16,2,7,WR
Kenny Britt,2009,21,TEN,16,6,7,WR
Jerricho Cotchery,2009,27,NYJ,14,12,7,WR
Patrick Crayton,2009,30,DAL,16,6,7,WR
Josh Cribbs,2009,26,CLE,16,12,7,WR
Torry Holt,2009,33,JAX,15,12,7,WR
Michael Jenkins,2009,27,ATL,15,9,7,WR
Calvin Johnson,2009,24,DET,14,14,7,WR
Jeremy Maclin,2009,21,PHI,15,13,7,WR
Mario Manningham,2009,23,NYG,14,10,7,WR
Santana Moss,2009,30,WAS,16,16,7,WR
Hakeem Nicks,2009,21,NYG,14,6,7,WR
Terrell Owens,2009,36,BUF,16,16,7,WR
Mike Wallace,2009,23,PIT,16,4,7,WR
Jason Avant,2009,26,PHI,16,9,6,WR
Bernard Berrian,2009,29,MIN,16,15,6,WR
Steve Breaston,2009,26,ARI,15,6,6,WR
Nate Burleson,2009,28,SEA,13,12,6,WR
Chris Chambers,2009,31,"KAN,SDG",16,14,6,WR
Michael Crabtree,2009,22,SFO,11,11,6,WR
Braylon Edwards,2009,26,"CLE,NYJ",16,15,6,WR
Jabar Gaffney,2009,29,DEN,16,7,6,WR
Ted Ginn Jr.,2009,24,MIA,16,12,6,WR
Devin Hester,2009,27,CHI,13,12,6,WR
T.J. Houshmandzadeh,2009,32,SEA,16,16,6,WR
Johnny Knox,2009,23,CHI,15,0,6,WR
Kevin Walter,2009,28,HOU,14,14,6,WR
