Player,Season,Age,Team,G,GS,AV,Pos
Jerricho Cotchery,2004,22,NYJ,12,0,2,WR
Tim Dwight,2004,29,SDG,12,0,2,WR
Chris Horn,2004,27,KAN,14,0,2,WR
Charles Lee,2004,27,TAM,7,3,2,WR
Greg Lewis,2004,24,PHI,16,3,2,WR
Michael Lewis,2004,33,NOR,14,1,2,WR
Lee Mays,2004,26,PIT,16,1,2,WR
Clarence Moore,2004,22,BAL,15,6,2,WR
Josh Reed,2004,24,BUF,12,1,2,WR
Tai Streets,2004,27,DET,13,12,2,WR
Reggie Swinton,2004,29,DET,13,1,2,WR
Alvis Whitted,2004,30,OAK,11,5,2,WR
Ernest Wilford,2004,25,JAX,15,3,2,WR
Karl Williams,2004,33,ARI,15,2,2,WR
Reggie Williams,2004,21,JAX,16,15,2,WR
Richard Alston,2004,24,CLE,9,0,1,WR
Bernard Berrian,2004,24,CHI,16,1,1,WR
Terrance Copper,2004,22,DAL,10,0,1,WR
Patrick Crayton,2004,25,DAL,8,0,1,WR
Malcom Floyd,2004,23,SDG,4,2,1,WR
Mike Furrey,2004,27,STL,8,0,1,WR
Justin Gage,2004,23,CHI,16,2,1,WR
Bryan Gilmore,2004,26,MIA,16,2,1,WR
Cortez Hankton,2004,23,JAX,12,0,1,WR
Frisman Jackson,2004,25,CLE,10,0,1,WR
Nate Jackson,2004,25,DEN,12,0,1,WR
Taylor Jacobs,2004,23,WAS,15,4,1,WR
Michael Jenkins,2004,22,ATL,16,0,1,WR
David Kircus,2004,24,DET,7,0,1,WR
Dane Looker,2004,28,STL,14,0,1,WR
Darnerien McCants,2004,28,WAS,5,1,1,WR
Samie Parker,2004,23,KAN,4,0,1,WR
Willie Ponder,2004,24,NYG,11,0,1,WR
Nate Poole,2004,27,ARI,9,1,1,WR
Bill Schroeder,2004,33,TAM,7,2,1,WR
Bobby Shaw,2004,29,"BUF,SDG",11,0,1,WR
Jonathan Smith,2004,23,BUF,9,0,1,WR
Steve Smith Sr.,2004,25,CAR,1,1,1,WR
John Stone,2004,25,OAK,4,0,1,WR
Jamaar Taylor,2004,23,NYG,8,0,1,WR
James Thrash,2004,29,WAS,16,3,1,WR
David Tyree,2004,24,NYG,16,1,1,WR
Jerheme Urban,2004,24,SEA,7,1,1,WR
Kevin Walter,2004,23,CIN,16,0,1,WR
Peter Warrick,2004,27,CIN,4,1,1,WR
Wes Welker,2004,23,"MIA,SDG",15,0,1,WR
Randal Williams,2004,26,DAL,2,2,1,WR
Rashaun Woods,2004,24,SFO,14,0,1,WR
Charlie Adams,2004,25,DEN,4,0,0,WR
Eugene Baker,2004,28,CAR,3,0,0,WR
Alex Bannister,2004,25,SEA,7,1,0,WR
Ronald Bellamy,2004,23,MIA,2,0,0,WR
Jamall Broussard,2004,23,CAR,8,0,0,WR
Antonio Brown,2004,26,WAS,3,0,0,WR
Tyrone Calico,2004,24,TEN,1,0,0,WR
Devard Darling,2004,22,BAL,3,0,0,WR
Chris Doering,2004,31,PIT,3,0,0,WR
Jimmy Farris,2004,26,ATL,14,0,0,WR
P.J. Fleck,2004,24,SFO,1,0,0,WR
Carlos Francis,2004,23,OAK,5,0,0,WR
Talman Gardner,2004,24,NOR,11,1,0,WR
Drew Haddad,2004,26,BUF,1,0,0,WR
Derrick Hamilton,2004,23,SFO,2,0,0,WR
Lawrence Hamilton,2004,24,ARI,1,0,0,WR
Karl Hankton,2004,34,CAR,15,0,0,WR
Devery Henderson,2004,22,NOR,1,0,0,WR
Darrell Hill,2004,25,TEN,14,0,0,WR
Keenan Howry,2004,23,MIN,3,0,0,WR
Daryl Jones,2004,25,CHI,2,0,0,WR
Mark Jones,2004,24,NYG,14,0,0,WR
Kevin Kasper,2004,27,NWE,8,0,0,WR
Kelvin Kight,2004,22,GNB,1,0,0,WR
Andre King,2004,31,CLE,9,2,0,WR
Jermaine Lewis,2004,30,JAX,9,0,0,WR
Triandos Luke,2004,23,DEN,10,0,0,WR
Jason McAddley,2004,25,TEN,11,1,0,WR
Billy McMullen,2004,24,PHI,8,0,0,WR
Aaron Moorehead,2004,24,IND,7,0,0,WR
Johnnie Morant,2004,23,OAK,4,0,0,WR
Sean Morey,2004,28,PIT,16,0,0,WR
J.J. Moses,2004,25,HOU,15,0,0,WR
Frank Murphy,2004,27,TAM,3,0,0,WR
Ben Nelson,2004,25,MIN,3,0,0,WR
Reggie Newhouse,2004,23,ARI,3,0,0,WR
Brad Pyatt,2004,24,IND,8,0,0,WR
Charles Rogers,2004,23,DET,1,1,0,WR
Micah Ross,2004,28,"CAR,SDG",17,0,0,WR
Cliff Russell,2004,25,CIN,13,1,0,WR
P.K. Sam,2004,21,NWE,2,0,0,WR
Jake Schifino,2004,25,TEN,1,0,0,WR
Richard Smith,2004,24,KAN,4,0,0,WR
Kendrick Starling,2004,25,HOU,8,0,0,WR
Andrae Thurman,2004,24,GNB,2,0,0,WR
Scottie Vines,2004,25,DET,6,1,0,WR
Taco Wallace,2004,23,SEA,2,0,0,WR
Troy Walters,2004,28,IND,5,0,0,WR
Steve Smith Sr.,2005,26,CAR,16,16,18,WR
Chad Johnson,2005,27,CIN,16,16,17,WR
Marvin Harrison,2005,33,IND,15,15,15,WR
Plaxico Burress,2005,28,NYG,16,15,13,WR
Santana Moss,2005,26,WAS,16,16,13,WR
Rod Smith,2005,35,DEN,16,16,13,WR
Reggie Wayne,2005,27,IND,16,16,13,WR
Joey Galloway,2005,34,TAM,16,16,12,WR
T.J. Houshmandzadeh,2005,28,CIN,14,12,12,WR
Torry Holt,2005,29,STL,14,14,11,WR
Eddie Kennison,2005,32,KAN,16,16,11,WR
Keenan McCardell,2005,35,SDG,16,16,11,WR
Jimmy Smith,2005,36,JAX,16,16,11,WR
Hines Ward,2005,29,PIT,15,15,11,WR
Anquan Boldin,2005,25,ARI,14,14,10,WR
Deion Branch,2005,26,NWE,16,15,10,WR
Chris Chambers,2005,27,MIA,16,16,10,WR
Donald Driver,2005,30,GNB,16,16,10,WR
Larry Fitzgerald,2005,22,ARI,16,16,10,WR
Terry Glenn,2005,31,DAL,16,16,10,WR
Ashley Lelie,2005,25,DEN,16,13,10,WR
Bobby Engram,2005,32,SEA,13,13,9,WR
Eric Parker,2005,26,SDG,15,9,9,WR
Antwaan Randle El,2005,26,PIT,16,15,9,WR
Antonio Bryant,2005,24,CLE,16,15,8,WR
Lee Evans,2005,24,BUF,16,15,8,WR
Joe Jurevicius,2005,31,SEA,16,12,8,WR
Randy Moss,2005,28,OAK,16,15,8,WR
Eric Moulds,2005,32,BUF,15,15,8,WR
Jerry Porter,2005,27,OAK,16,14,8,WR
Amani Toomer,2005,31,NYG,16,15,8,WR
Laveranues Coles,2005,28,NYJ,16,16,7,WR
Brian Finneran,2005,29,ATL,16,7,7,WR
David Givens,2005,25,NWE,13,10,7,WR
Andre Johnson,2005,24,HOU,13,13,7,WR
Keyshawn Johnson,2005,33,DAL,16,14,7,WR
Derrick Mason,2005,31,BAL,16,16,7,WR
Brandon Stokley,2005,29,IND,15,4,7,WR
Ernest Wilford,2005,26,JAX,16,8,7,WR
Drew Bennett,2005,27,TEN,13,10,6,WR
Marty Booker,2005,29,MIA,15,12,6,WR
Kevin Curtis,2005,27,STL,16,9,6,WR
Darrell Jackson,2005,27,SEA,6,6,6,WR
Michael Jenkins,2005,23,ATL,14,12,6,WR
Brandon Lloyd,2005,24,SFO,16,15,6,WR
Justin McCareins,2005,27,NYJ,16,16,6,WR
Muhsin Muhammad,2005,32,CHI,15,15,6,WR
Terrell Owens,2005,32,PHI,7,7,6,WR
Donte' Stallworth,2005,25,NOR,16,13,6,WR
Roy Williams,2005,24,DET,13,12,6,WR
Corey Bradford,2005,30,HOU,16,6,5,WR
Troy Brown,2005,34,NWE,13,3,5,WR/DB
Antonio Chatman,2005,26,GNB,16,3,5,WR
Doug Gabriel,2005,25,OAK,14,2,5,WR
Jabar Gaffney,2005,25,HOU,16,13,5,WR
D.J. Hackett,2005,24,SEA,13,3,5,WR
Dante Hall,2005,27,KAN,16,2,5,WR
Chris Henry,2005,22,CIN,14,5,5,WR
Matt Jones,2005,22,JAX,16,1,5,WR
Samie Parker,2005,24,KAN,12,9,5,WR
Ricky Proehl,2005,37,CAR,16,0,5,WR
Travis Taylor,2005,27,MIN,16,13,5,WR
Roddy White,2005,24,ATL,16,8,5,WR
Reggie Williams,2005,22,JAX,16,7,5,WR
Cedrick Wilson,2005,27,PIT,16,1,5,WR
Reggie Brown,2005,24,PHI,16,11,4,WR
Isaac Bruce,2005,33,STL,11,10,4,WR
Reche Caldwell,2005,26,SDG,16,2,4,WR
Braylon Edwards,2005,22,CLE,10,7,4,WR
Joe Horn,2005,33,NOR,13,13,4,WR
Greg Lewis,2005,25,PHI,16,16,4,WR
Shaun McDonald,2005,24,STL,16,2,4,WR
Dennis Northcutt,2005,28,CLE,16,7,4,WR
Josh Reed,2005,25,BUF,16,6,4,WR
Koren Robinson,2005,25,MIN,14,5,4,WR
Marcus Robinson,2005,30,MIN,15,9,4,WR
Scottie Vines,2005,26,DET,13,11,4,WR
Wes Welker,2005,24,MIA,16,1,4,WR
Arnaz Battle,2005,25,SFO,10,8,3,WR
Nate Burleson,2005,24,MIN,12,9,3,WR
Mark Clayton,2005,23,BAL,14,10,3,WR
Michael Clayton,2005,23,TAM,14,10,3,WR
Keary Colbert,2005,23,CAR,16,16,3,WR
Patrick Crayton,2005,26,DAL,11,0,3,WR
Tim Dwight,2005,30,NWE,16,1,3,WR
Robert Ferguson,2005,26,GNB,11,7,3,WR
Justin Gage,2005,24,CHI,15,11,3,WR
Az-Zahir Hakim,2005,28,NOR,12,2,3,WR
Ike Hilliard,2005,29,TAM,16,2,3,WR
Bryant Johnson,2005,24,ARI,14,4,3,WR
Jerome Mathis,2005,22,HOU,12,0,3,WR
Courtney Roby,2005,22,TEN,13,6,3,WR
Mike Williams,2005,21,DET,14,4,3,WR
Troy Williamson,2005,22,MIN,14,3,3,WR
Charlie Adams,2005,26,DEN,16,2,2,WR
Bernard Berrian,2005,25,CHI,11,2,2,WR
Mark Bradley,2005,23,CHI,7,4,2,WR
Tyrone Calico,2005,25,TEN,12,6,2,WR
Tim Carter,2005,26,NYG,15,1,2,WR
Jerricho Cotchery,2005,23,NYJ,16,1,2,WR
Andre' Davis,2005,26,NWE,9,4,2,WR
Rod Gardner,2005,28,"CAR,GNB",13,1,2,WR
Devery Henderson,2005,23,NOR,15,3,2,WR
Chris Horn,2005,28,KAN,14,3,2,WR
Frisman Jackson,2005,26,CLE,12,0,2,WR
Brandon Jones,2005,23,TEN,10,8,2,WR
Dane Looker,2005,29,STL,16,0,2,WR
Billy McMullen,2005,25,PHI,16,0,2,WR
Quincy Morgan,2005,28,PIT,16,0,2,WR
Johnnie Morton,2005,34,SFO,13,10,2,WR
David Patten,2005,31,WAS,9,7,2,WR
Charles Rogers,2005,24,DET,9,3,2,WR
James Thrash,2005,30,WAS,12,2,2,WR
Jerheme Urban,2005,25,SEA,4,1,2,WR
Bobby Wade,2005,24,"CHI,TEN",14,1,2,WR
Kevin Walter,2005,24,CIN,16,2,2,WR
Troy Walters,2005,29,IND,16,1,2,WR
Peter Warrick,2005,28,SEA,13,5,2,WR
Alvis Whitted,2005,31,OAK,16,0,2,WR
Roydell Williams,2005,24,TEN,10,2,2,WR
Sam Aiken,2005,25,BUF,16,2,1,WR
Otis Amey,2005,24,SFO,11,0,1,WR
Derick Armstrong,2005,26,HOU,13,3,1,WR
Marc Boerigter,2005,27,KAN,10,0,1,WR
David Boston,2005,27,MIA,5,0,1,WR
Antonio Brown,2005,27,WAS,7,0,1,WR
Drew Carter,2005,24,CAR,3,0,1,WR
Wayne Chrebet,2005,32,NYJ,8,0,1,WR
Josh Cribbs,2005,22,CLE,14,0,1,WR
Todd Devoe,2005,25,DEN,14,0,1,WR
Bryan Gilmore,2005,27,MIA,15,1,1,WR
Randy Hymes,2005,26,BAL,16,3,1,WR
Vincent Jackson,2005,22,SDG,8,0,1,WR
Taylor Jacobs,2005,24,WAS,15,3,1,WR
Bethel Johnson,2005,26,NWE,11,1,1,WR
Kevin Johnson,2005,29,DET,6,2,1,WR
Charles Lee,2005,28,ARI,6,0,1,WR
Jason McAddley,2005,26,SFO,12,2,1,WR
Darnerien McCants,2005,29,PHI,12,0,1,WR
LeRon McCoy,2005,23,ARI,10,4,1,WR
Aaron Moorehead,2005,25,IND,2,0,1,WR
Roscoe Parrish,2005,23,BUF,10,1,1,WR
Willie Ponder,2005,25,NYG,11,0,1,WR
Peerless Price,2005,29,DAL,7,1,1,WR
Edell Shepherd,2005,25,TAM,16,0,1,WR
Jonathan Smith,2005,24,BUF,7,1,1,WR
Andrae Thurman,2005,25,"GNB,TEN",15,1,1,WR
David Tyree,2005,25,NYG,13,0,1,WR
Kelley Washington,2005,26,CIN,7,0,1,WR
Randal Williams,2005,27,OAK,16,4,1,WR
Alex Bannister,2005,26,SEA,2,0,0,WR
Eddie Berlin,2005,27,CHI,5,0,0,WR
Romby Bryant,2005,26,ATL,3,0,0,WR
Bam Childress,2005,23,NWE,1,0,0,WR
Terrance Copper,2005,23,DAL,16,0,0,WR
Ronald Curry,2005,26,OAK,2,0,0,WR
Devard Darling,2005,23,BAL,10,0,0,WR
Eddie Drummond,2005,25,DET,12,0,0,WR
Troy Edwards,2005,28,DET,3,0,0,WR
Jimmy Farris,2005,27,WAS,4,0,0,WR
Carl Ford,2005,25,CHI,10,0,0,WR
Cortez Hankton,2005,24,JAX,6,0,0,WR
Karl Hankton,2005,35,CAR,16,0,0,WR
Carlyle Holiday,2005,24,ARI,1,0,0,WR
Keenan Howry,2005,24,MIN,4,0,0,WR
Nate Jackson,2005,26,DEN,2,0,0,WR
Patrick Johnson,2005,29,BAL,6,0,0,WR
Jamal Jones,2005,24,GNB,2,0,0,WR
Mark Jones,2005,25,TAM,16,0,0,WR
Michael Lewis,2005,34,NOR,2,0,0,WR
Chad Lucas,2005,24,GNB,1,0,0,WR
Rasheed Marshall,2005,24,SFO,12,0,0,WR
Glenn Martinez,2005,24,DET,5,0,0,WR
Marcus Maxwell,2005,22,SFO,4,0,0,WR
Clarence Moore,2005,23,BAL,4,1,0,WR
Johnnie Morant,2005,24,OAK,1,0,0,WR
Sean Morey,2005,29,PIT,15,0,0,WR
Donovan Morgan,2005,23,HOU,3,0,0,WR
J.J. Moses,2005,26,ARI,2,0,0,WR
Terrence Murphy,2005,23,GNB,3,0,0,WR
Reggie Newhouse,2005,24,ARI,3,1,0,WR
Kassim Osgood,2005,25,SDG,12,3,0,WR
Chad Owens,2005,23,JAX,1,0,0,WR
Rich Parson,2005,25,WAS,1,0,0,WR
Jerome Pathon,2005,30,ATL,9,0,0,WR
Tab Perry,2005,23,CIN,16,0,0,WR
Nate Poole,2005,28,NOR,7,0,0,WR
Dante Ridgeway,2005,21,NYJ,8,0,0,WR
Cliff Russell,2005,26,MIA,2,0,0,WR
O.J. Small,2005,23,TEN,2,0,0,WR
Reggie Swinton,2005,30,ARI,15,0,0,WR
Jamaar Taylor,2005,24,NYG,5,0,0,WR
David Terrell,2005,26,DEN,1,0,0,WR
Dominique Thompson,2005,23,STL,2,0,0,WR
Sloan Thomas,2005,24,TEN,1,0,0,WR
Javon Walker,2005,27,GNB,1,1,0,WR
Taco Wallace,2005,24,GNB,1,0,0,WR
Nate Washington,2005,22,PIT,1,0,0,WR
Darius Watts,2005,24,DEN,6,0,0,WR
Dez White,2005,26,ATL,6,3,0,WR
Marvin Harrison,2006,34,IND,16,16,17,WR
Reggie Wayne,2006,28,IND,16,16,16,WR
Chad Johnson,2006,28,CIN,16,16,13,WR
Terrell Owens,2006,33,DAL,16,15,13,WR
Torry Holt,2006,30,STL,16,16,12,WR
Javon Walker,2006,28,DEN,16,16,12,WR
Anquan Boldin,2006,26,ARI,16,16,11,WR
Isaac Bruce,2006,34,STL,16,13,11,WR
Plaxico Burress,2006,29,NYG,15,15,11,WR
Laveranues Coles,2006,29,NYJ,16,16,11,WR
Lee Evans,2006,25,BUF,16,15,11,WR
Terry Glenn,2006,32,DAL,15,14,11,WR
Andre Johnson,2006,25,HOU,16,16,11,WR
Roy Williams,2006,25,DET,16,16,11,WR
Marques Colston,2006,23,NOR,14,12,10,WR
Jerricho Cotchery,2006,24,NYJ,16,16,10,WR
T.J. Houshmandzadeh,2006,29,CIN,14,13,10,WR
Eric Parker,2006,27,SDG,15,12,10,WR
Donald Driver,2006,31,GNB,16,16,9,WR
Mike Furrey,2006,29,DET,16,14,9,WR
Eddie Kennison,2006,33,KAN,16,16,9,WR
Steve Smith Sr.,2006,27,CAR,14,14,9,WR
Hines Ward,2006,30,PIT,14,14,9,WR
