"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Cmp","Att","Pct","Yds","YPA","AYPA","TD","Int","Rate","RushAtt","RushYds","ConfIndicator"
"205","connor cook",76,217,4.79,33,113,7.21,4.28,13,229,408,56.1,3131,7.7,8.1,24,7,136.6,52,56,"1"
"206","brandon doughty",75,213,5.22,27,103,7.49,4.52,13,375,552,67.9,4830,8.8,9.7,49,10,167.1,39,-52,"0"
"207","jeff driskel",76,234,4.56,32,122,7.19,4.25,13,279,448,62.3,4026,9,9.4,27,8,154.1,92,323,"0"
"208","jared goff",76,215,4.82,27,110,7.17,4.47,13,341,529,64.5,4714,8.9,9.4,43,13,161.2,56,-8,"1"
"209","christian hackenberg",76,223,4.78,31,114,7.04,4.33,13,192,359,53.5,2525,7,7.2,16,6,123.9,66,-80,"1"
"210","kevin hogan",75,218,4.78,32.5,113,6.9,4.31,14,206,304,67.8,2867,9.4,10,27,8,171,85,336,"1"
"211","cardale jones",77,253,4.81,36,103.209909887825,4.31505736740913,3.30954197334692,10,109,175,62.3,1459,8.3,8,8,5,141.7,64,193,"1"
"212","cody kessler",73,220,4.89,29.5,104,7.32,4,14,298,446,66.8,3536,7.9,8.5,29,7,151.7,61,-149,"1"
"213","paxton lynch",79,244,4.86,36,118,7.14,4.26,13,296,443,66.8,3776,8.5,9.4,28,4,157.5,87,239,"0"
"214","dak prescott",74,226,4.79,32.5,116,7.11,4.32,13,316,477,66.2,3793,8,8.7,29,5,151,160,588,"1"
"215","joel stave",77,236,4.8,33.5,115,7.29,4.33,13,225,370,60.8,2687,7.3,6.5,11,11,125.7,33,-123,"1"
"216","nate sudfeld",78,234,5.02,29,105,4.41181634423913,3.38380583503457,12,247,412,60,3573,8.7,9.2,27,7,151,46,61,"1"
"217","c j  beathard",74,219,5.19610740837838,31,113,4.46983877004456,3.44770048450326,13,170,301,56.5,1929,6.4,6,17,10,122.3,83,-13,"1"
"218","joshua dobbs",75,216,4.64,33,122,6.75,4.31,13,225,357,63,2946,8.3,8.3,27,12,150.6,150,831,"1"
"219","jerod evans",75,232,4.8,26.5,112,7.15558027487823,4.41,14,268,422,63.5,3552,8.4,8.9,29,8,153.1,204,846,"1"
"220","brad kaaya",76,214,NA,NA,NA,NA,NA,13,261,421,62,3532,8.4,8.9,27,7,150.3,37,-136,"1"
"221","deshone kizer",76,233,4.83,30.5,107,7.4,4.53,12,212,361,58.7,2925,8.1,8.4,26,9,145.6,129,472,"0"
"222","trevor knight",73,219,4.54,35.5,125,7.04,4.14,11,193,362,53.3,2432,6.7,6.9,19,7,123.2,102,614,"1"
"223","mitch leidner",75,226,4.93,34.5,123,6.96,4.25,12,173,307,56.4,2169,7.1,5.8,8,12,116.5,111,366,"1"
"224","sefo liufau",75,232,5.08,27,105,7.32,4.45,12,200,319,62.7,2366,7.4,7.3,11,6,132.6,165,494,"1"
"225","patrick mahomes",74,225,4.8,30,114,6.88,4.08,12,388,591,65.7,5052,8.5,9.2,41,10,157,131,285,"1"
"226","nathan peterman",74,226,4.82,31,110,7.14,4.31,13,185,306,60.5,2855,9.3,10.1,27,7,163.4,72,286,"1"
"227","cooper rush",75,228,4.93,27,105,7.23,4.47,13,278,465,59.8,3540,7.6,7.1,23,16,133.2,68,-21,"0"
"228","seth russell",75,213,NA,NA,NA,NA,NA,9,152,278,54.7,2126,7.6,7.8,20,8,136.9,94,506,"1"
"229","mitchell trubisky",74,222,4.67,27.5,116,6.87,4.25,13,304,447,68,3748,8.4,9.1,30,6,157.9,93,308,"1"
"230","deshaun watson",74,221,4.66,32.5,119,6.95,4.31,15,388,579,67,4593,7.9,8,41,17,151.1,165,629,"1"
"231","davis webb",77,229,4.79,33,118,6.92,4.21,12,382,620,61.6,4295,6.9,7.3,37,12,135.6,33,-110,"1"
"232","austin allen",72,210,4.81,29.5,112,7.18,4.48,8,105,187,56.1,1427,7.6,7.5,10,5,132.5,37,-20,"1"
"233","quinton flowers",70,214,4.63,32.2425625141676,112,6.81,4.57,12,188,354,53.1,2911,8.2,8.9,25,6,142.1,196,1078,"0"
"234","nic shimonek",75,220,4.88,28.5,101,7.28,4.32,13,328,493,66.5,3963,8,8.5,33,10,152.1,59,-66,"1"
"235","josh allen",77,237,4.75,33.5,119,6.9,4.4,11,152,270,56.3,1812,6.7,6.9,16,6,127.8,92,204,"0"
"236","j t  barrett",73,224,4.7,30,108,7.38,4.44,14,240,371,64.7,3053,8.2,9,35,9,160.1,165,798,"1"
"237","kurt benkert",75,218,4.95,31,112,7.15,4.33,13,298,509,58.5,3207,6.3,6.5,25,9,124.1,65,-63,"1"
"238","sam darnold",75,221,4.85,26.5,105,6.96,4.4,14,303,480,63.1,4143,8.6,8.5,26,13,148.1,75,82,"1"
"239","danny etling",74,222,4.76,30.5,114,7.09,4.37,13,165,275,60,2463,9,9.8,16,2,153,72,128,"1"
"240","luke falk",76,215,5.67330080888447,26.5,103,4.62820205708265,3.59707274985634,12,357,534,66.9,3593,6.7,6.8,30,13,137,67,-147,"1"
"241","riley ferguson",75,212,4.98,29,110,6.96,4.4,13,299,474,63.1,4257,9,9.7,38,9,161.2,54,22,"0"
"242","lamar jackson",74,216,NA,NA,NA,NA,NA,13,254,430,59.1,3660,8.5,8.7,27,10,146.6,232,1601,"1"
"243","tanner lee",76,218,4.98,32,115,7,4.41,12,246,428,57.5,3143,7.3,6.7,23,16,129.4,30,-97,"1"
"244","chase litton",77,230,4.9,29.5,106,7.49,4.53,13,266,443,60,3115,7,6.7,25,14,131.4,35,12,"0"
"245","baker mayfield",73,215,4.84,29,111,7,4.28,14,285,404,70.5,4627,11.5,12.9,43,6,198.9,97,311,"1"
"246","josh rosen",76,226,4.92,31,111,7.09,4.28,11,283,452,62.6,3756,8.3,8.5,26,10,147,50,-97,"1"
"247","mason rudolph",77,235,4.9,26,101.678490711814,4.37579387695404,3.33364992662111,13,318,489,65,4904,10,10.7,37,9,170.6,61,35,"1"
"248","logan woodside",73,213,4.79,31.5,103,6.94,4.15,14,264,411,64.2,3882,9.4,9.9,28,8,162.2,51,34,"0"
"249","jake browning",74,211,4.74,29,112,7.19,4.44,14,252,388,64.9,3192,8.2,7.9,16,10,142.5,85,139,"1"
"250","ryan finley",76,213,4.73,30.5,116,7.2,4.2,13,326,484,67.4,3928,8.1,8.1,25,11,148,42,21,"1"
"251","nick fitzgerald",77,226,4.64,29.5,115,4.28228439232515,3.26949769318429,12,145,281,51.6,1767,6.3,6,16,9,116.8,221,1121,"1"
"252","will grier",74,217,4.84,34,112,7.09,4.28,11,266,397,67,3864,9.7,10.7,37,8,175.5,48,-90,"1"
"253","dwayne haskins",75,231,5.04,28.5,96.3917309730804,4.40308181405542,3.37214331966484,14,373,533,70,4831,9.1,10.3,50,8,174.1,79,108,"1"
"254","tyree jackson",79,249,4.59,34.5,120,7.09,4.28,14,225,407,55.3,3131,7.7,7.7,28,12,136.7,55,161,"0"
"255","daniel jones",77,221,4.81,33.5,120,7,4.41,11,237,392,60.5,2674,6.8,6.9,22,9,131.7,104,319,"1"
"256","drew lock",76,228,4.69,31,112,7.03,4.12,13,275,437,62.9,3498,8,8.5,28,8,147.7,55,175,"1"
"257","trace mcsorley",72,202,4.57,33,115,7.09,4.12,13,192,361,53.2,2530,7,7.1,18,7,124.6,170,798,"1"
"258","gardner minshew",73,225,4.97,33.5,116,7.14,4.45,13,468,662,70.7,4779,7.2,7.8,38,9,147.6,58,119,"1"
"259","kyler murray",70,207,NA,NA,NA,NA,NA,14,260,377,69,4361,11.6,13,42,7,199.2,140,1001,"1"
"260","brett rypien",74,210,4.91,33,116,7.1,4.29,13,301,447,67.3,3705,8.3,8.9,30,7,156,85,12,"0"
"261","kyle shurmur",76,230,4.91,29.5,106,7.51,4.53,13,254,406,62.6,3130,7.7,8.2,24,6,143.9,39,-80,"1"
"262","jarrett stidham",74,218,4.81,31,110,7.28,4.33,13,224,369,60.7,2794,7.6,7.9,18,5,137.7,72,1,"1"
"263","jordan ta'amu",75,221,4.77,27.5,109,7.06,4.36,12,266,418,63.6,3918,9.4,9.4,19,8,153.5,116,342,"1"
"264","clayton thorson",76,222,NA,NA,NA,NA,NA,14,299,489,61.1,3183,6.5,5.8,17,15,121.2,78,-110,"1"
"265","kelly bryant",75,229,4.69,35,125,7.33,4.51,4,36,54,66.7,461,8.5,8.4,2,1,146.9,30,130,"1"
"266","joe burrow",75,221,NA,NA,NA,NA,NA,15,402,527,76.3,5671,10.8,12.5,60,6,202,115,368,"1"
"267","jacob eason",78,231,4.89,27.5,110,7.5,4.75,13,260,405,64.2,3132,7.7,8,23,8,143.9,46,-69,"1"
"268","jake fromm",74,219,5.01,30,111,7.27,4.51,14,234,385,60.8,2860,7.4,8.1,24,5,141.2,38,-12,"1"
"269","anthony gordon",74,205,NA,NA,NA,NA,NA,13,493,689,71.6,5579,8.1,8.4,48,16,157.9,51,-20,"1"
"270","justin herbert",78,236,4.68,35.5,123,7.06,4.46,14,286,428,66.8,3471,8.1,9,32,6,156.8,58,50,"1"
"271","jalen hurts",73,222,4.59,35,125,4.12159985073709,3.1488239638499,14,237,340,69.7,3851,11.3,12.2,32,8,191.2,233,1298,"1"
"272","brian lewerke",74,213,4.95,31,113,7.14,4.4,13,260,436,59.6,3079,7.1,6.5,17,13,125.9,111,363,"1"
"273","jordan love",76,224,4.74,35.5,118,7.21,4.52,13,293,473,61.9,3402,7.2,6.4,20,17,129.1,81,175,"0"
"274","jake luton",78,224,NA,NA,NA,NA,NA,8,140,224,62.5,1660,7.4,7.5,10,4,135.9,28,-144,"1"
"275","cole mcdonald",75,215,4.58,36,121,7.13,4.52,14,326,511,63.8,4135,8.1,8.2,33,14,147.6,101,383,"0"
"276","steven montez",76,231,4.68,33,117,7.25,4.43,12,255,405,63,2808,6.9,6.7,17,10,130.1,65,153,"1"
"277","james morgan",76,229,4.89,29,112,7.51,4.64,12,207,357,58,2585,7.2,7.4,14,5,128.9,32,-40,"0"
"278","shea patterson",73,212,4.71,31,116,7.14,4.5,13,214,381,56.2,3061,8,8.3,23,8,139.4,87,50,"1"
"279","nate stanley",76,235,4.81,28.5,108,7.26,4.48,13,237,399,59.4,2951,7.4,7.4,16,7,131.2,76,7,"1"
"280","tua tagovailoa",72,217,NA,NA,NA,NA,NA,9,180,252,71.4,2840,11.3,13.4,33,3,206.9,23,17,"1"
"281","david moore",72,200,4.86,29.5,112,7.62,4.75,6,94,164,57.3,1143,7,6.5,5,4,121,22,-3,"0"
"282","ian book",72,211,4.65,32.5,115,6.99,4.19,13,240,399,60.2,3034,7.6,8.6,34,6,149.1,112,546,"0"
"283","sam ehlinger",73,220,4.84,36.5,114,7.15,4.44,10,194,322,60.2,2566,8,8.9,26,5,150.7,113,377,"1"
"284","justin fields",74,227,4.45,34.5324878337616,90.9892702544324,4.20580501306337,3.18613536285114,8,158,225,70.2,2100,9.3,10.1,22,6,175.6,81,383,"1"
"285","feleipe franks",78,234,4.61,32.5,117,7.16,4.22,9,163,238,68.5,2107,8.9,9.5,17,4,163.1,105,204,"1"
"286","mac jones",74,217,4.72,32,116,7.04,4.39,13,311,402,77.4,4500,11.2,12.8,41,4,203.1,35,14,"1"
"287","trey lance",75,224,NA,NA,NA,NA,NA,1,15,30,50,149,5,4.8,2,1,107.1,15,143,"0"
"288","trevor lawrence",77,213,NA,NA,NA,NA,NA,10,231,334,69.2,3153,9.4,10.2,24,5,169.2,68,203,"1"
"289","davis mills",75,217,4.82,32,110,6.95,4.4,5,129,195,66.2,1508,7.7,7.8,7,3,139.9,30,37,"1"
"290","jamie newman",74,234,NA,NA,NA,NA,NA,12,220,361,60.9,2868,7.9,8,26,11,145.3,180,574,"1"
"291","peyton ramsey",73,215,4.77,28,108,7.28,4.41,9,172,282,61,1733,6.1,5.7,12,8,121,84,247,"1"
"292","zach smith",75,222,5.23,29.5,111,7.26,4.52,9,147,263,55.9,1947,7.4,6.7,13,10,126.8,36,-62,"0"
"293","kevin thomson",72,198,4.75,35.5,126,6.98,4.23,9,147,263,55.9,1947,7.4,6.7,13,10,126.8,36,-62,"0"
"294","zac thomas",72,205,4.59,30,115,7.06,4.28,12,186,291,63.9,2189,7.5,7.2,20,11,142.2,90,312,"0"
"295","kyle trask",77,236,5.1,31.5,113,7.08,4.6,12,301,437,68.9,4283,9.8,10.9,43,8,180,64,50,"1"
"296","jack coan",75,218,4.9,33,115,6.95,4.39,13,253,386,65.5,3150,8.2,8.6,25,7,151.8,57,-100,"0"
"297","matt corral",74,212,NA,NA,NA,NA,NA,13,262,386,67.9,3349,8.7,9.1,20,5,155.3,152,614,"1"
"298","dustin crum",73,210,4.75,32.5,120,7.04953041051026,4.36,4,83,113,73.5,1181,10.5,11.8,12,2,192.7,44,240,"0"
"299","kaleb eleby",73,208,4.50147576117626,25.5,111,7.57,4.41376785868793,6,99,153,64.7,1715,11.2,13,18,2,195.1,34,38,"0"
"300","sam howell",73,218,NA,NA,NA,NA,NA,12,217,347,62.5,3056,8.8,9,24,9,154.2,183,828,"1"
"301","d'eriq king",69,196,NA,NA,NA,NA,NA,4,58,110,52.7,663,6,6.3,6,2,117.7,55,312,"0"
"302","kenny pickett",75,217,4.73,33.5,121,7.04269275907292,4.29,9,203,332,61.1,2408,7.3,6.8,13,9,129.6,81,145,"1"
"303","brock purdy",73,212,4.84,27,106.943706982411,7.21,4.45,13,292,407,71.7,3188,7.8,7.9,19,8,149,85,238,"1"
"304","desmond ridder",75,211,4.52,36,127,7.15,4.29,14,251,387,64.9,3334,8.6,9.2,30,8,158.7,110,355,"0"
"305","carson strong",75,226,NA,NA,NA,NA,NA,12,366,522,70.1,4175,8,8.7,36,8,157,51,-208,"0"
"306","skylar thompson",74,217,4.91,31,112,7,4.28,3,40,64,62.5,626,9.8,11,4,0,165.3,19,38,"1"
"307","malik willis",73,219,NA,NA,NA,NA,NA,10,170,265,64.2,2250,8.5,9,20,6,155.8,141,944,"0"
"308","bailey zappe",73,215,4.88,30,109,7.19,4.4,14,475,686,69.2,5967,8.7,9.8,62,11,168.9,51,17,"0"
