"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Cmp","Att","Pct","Yds","YPA","AYPA","TD","Int","Rate","RushAtt","RushYds","RushAvg","RushTD","ConfIndicator"
"35","aaron rodgers",74,223,4.71,34.5,110,7.38,4.33942534786532,12,209,316,66.1,2566,8.1,8.5,24,8,154.3,74,126,1.7,3,"0"
"36","david greene",75,226,4.78,31.5,115,7,4.1,12,175,299,58.5,2508,8.4,9.1,20,4,148.4,23,-67,-2.9,1,"1"
"37","alex smith",76,217,4.71,32,113,6.82,3.96,12,214,317,67.5,2952,9.3,10.8,32,4,176.5,135,631,4.7,10,"0"
"38","andrew walter",78,233,4.86,29.7752765680935,109.148118576649,7.267237954331,4.41330607732021,11,244,426,57.3,3150,7.4,7.9,30,9,138.4,58,-112,-1.9,0,"0"
"39","quinton porter",77,233,4.67,33.5,116,6.76,4.1,7,136,214,63.6,1357,6.3,5.7,9,7,124.2,31,9,0.3,0,"1"
"40","paul pinegar",77,232,5.1,29,110,7.36,4.49,13,265,416,63.7,3335,8,7.8,30,15,147.6,46,59,1.3,3,"0"
"41","drew olson",74,222,5.09,23,97,7.19405430675963,4.42,12,242,378,64,3198,8.5,9.5,34,6,161.6,50,-48,-1,1,"0"
"42","darrell hackney",72,239,4.82,33,110,7.62,4.69,11,242,386,62.7,3180,8.2,8,22,12,144.5,51,105,2.1,1,"0"
"43","kent smith",77,216,4.57,35,122,7.41,4.47,11,255,420,60.7,2799,6.7,6.8,16,6,126.4,157,443,2.8,7,"0"
"44","d j  shockley",73,214,4.56,37.5,121,7.07,4.17,12,173,310,55.8,2588,8.3,9.2,24,5,148.3,78,322,4.1,4,"1"
"45","brett basanez",73,220,4.76,34,114,6.75,4.22,12,314,497,63.2,3622,7.3,7.4,21,8,135.1,113,423,3.7,7,"1"
"46","kellen clemens",74,224,4.89,31.8963441231195,113.431206496009,7.12757022801136,4.32042114662048,8,185,289,64,2406,8.3,9,19,4,152.9,69,228,3.3,0,"0"
"47","brodie croyle",74,205,4.88,30.5,104,7.34,4.25,12,202,339,59.6,2499,7.4,7.7,14,4,132.8,64,-156,-2.4,1,"1"
"48","jay cutler",75,226,4.77,31.2144565501365,112.525478878282,7.1,4.26,11,273,462,59.1,3073,6.7,6.7,21,9,126.1,106,215,2,1,"1"
"49","bruce gradkowski",73,217,4.59,34,107,7.12,4.16,11,207,332,62.3,2469,7.4,7.6,29,12,146.4,61,291,4.8,4,"0"
"50","tarvaris jackson",74,226,4.69,31.5,107,7.4,4.38,8,14,39,35.9,143,3.7,1.9,1,2,64.9,14,-16,-1.1,0,"1"
"51","matt leinart",77,223,4.9,30.7674093676337,111.237422456039,7.13746230961023,4.33654192858823,13,283,431,65.7,3815,8.9,9.3,28,8,157.7,51,36,0.7,6,"0"
"52","reggie mcneal",74,198,4.4,32,121,6.96,4.25,10,141,265,53.2,1963,7.4,7.1,16,9,128.6,96,664,6.9,3,"1"
"53","omar jacobs",76,232,4.84,32.5,108,7.47,4.29,9,195,321,60.7,2591,8.1,8.7,26,7,150.9,40,62,1.6,1,"0"
"54","marcus vick",72,200,4.47,36,117,6.94,4.08,13,177,289,61.2,2393,8.3,7.9,17,10,143.3,147,380,2.6,6,"1"
"55","charlie whitehurst",77,223,4.75,33,112,7,4.11,11,229,340,67.4,2483,7.3,6.6,11,10,133.5,50,26,0.5,3,"1"
"56","vince young",77,229,4.48,33.0393491949472,116.585848216385,6.89225658034586,4.22617187678544,13,212,325,65.2,3036,9.3,9.6,26,10,163.9,155,1050,6.8,12,"1"
"57","james pinkney",74,208,4.79,34,112,7.35,4.49,13,232,397,58.4,2783,7,6.5,12,10,122.3,105,216,2.1,4,"0"
"58","chris leak",72,209,4.74,32.5,113,7.03,4.41,14,232,365,63.6,2942,8.1,7.7,23,13,144.9,77,30,0.4,3,"1"
"59","luke getsy",74,222,4.96,32.5,106,6.95,4.46,12,199,380,52.4,2662,7,6.7,18,11,121.1,58,-142,-2.4,0,"0"
"60","john stocco",74,207,5.08,27,104,7.29,4.6,11,158,268,59,2185,8.2,8.4,17,6,143.9,48,-79,-1.6,1,"1"
"61","zac taylor",74,216,5.06,30.5,110,7.39,4.6,14,233,391,59.6,3197,8.2,8.6,26,8,146.1,60,-32,-0.5,1,"1"
"62","jared zabransky",74,219,4.56,35.5,111,6.78,4.08,13,191,288,66.3,2587,9,9.3,23,8,162.6,98,197,2,6,"0"
"63","john beck",74,215,4.75,29.5,111,6.81,4.17,12,289,417,69.3,3885,9.3,10,32,8,169.1,50,-8,-0.2,6,"0"
"64","trent edwards",76,231,4.76,31.2724063594719,112.165505679452,7.14,4.46,11,168,268,62.7,1934,7.2,7.3,17,7,139,84,153,1.8,0,"0"
"65","matt gutierrez",76,232,5,29.5,108,6.99,4.28,8,14,22,63.6,133,6,6,0,0,114.4,7,3,0.4,0,"1"
"66","kevin kolb",75,218,4.85,32.5,112,6.94,4.44,14,292,432,67.6,3809,8.8,9.8,30,4,162.7,111,154,1.4,4,"0"
"67","tyler palko",73,215,4.83,31.5,112,7.05,4.36,12,220,322,68.3,2871,8.9,9.2,25,9,163.2,66,77,1.2,2,"0"
